Gene	NDM-6	msrE	AAC(3)-Ia	AAC(6')-Ib	SHV-12	fosA5	CTX-M-24	TEM-206	cmlA5	APH(3')-Ia	TEM-176	QnrB2	TEM-1	TEM-112	TEM-214	QnrS1	QnrB6	CTX-M-1	TEM-2	catB8	KPC-4	tet(B)	QnrB17	CTX-M-9	SHV-11	NDM-7	aadA25	aadA	CTX-M-65	QnrS4	TEM-30	arr-3	CTX-M-55	NDM-1	QnrD1	FosA3	CTX-M-14	TEM-163	ErmC	rmtB	sul2	tet(C)	QnrB1	AAC(6')-Ib9	AAC(6')-Ib4	SHV-1	APH(6)-Id	cmlA1	sul1	TEM-169	NDM-5	arr-2	OXA-23	dfrA12	TEM-156	KPC-3	aadA15	aadA2	AAC(6')-Ib'	mphA	ErmT	KPC-6	TEM-141	tet(D)	CTX-M-3	AAC(6')-Ib10	ANT(2'')-Ia	AAC(3)-IIc	aadA22	armA	TEM-40	TEM-216	TEM-160	TEM-81	aadA3	ErmB	dfrA14	aadA24	TEM-135	SHV-28	aadA16	tet(M)	CTX-M-27	SHV-5	APH(3'')-Ib	QnrB20	tet(A)	TEM-215	CTX-M-129	CTX-M-15	TEM-196	AAC(6')-Ib8	APH(3')-IIa	AAC(6')-Ib7	ANT3Ii_AAC6_IID	APH(3')-VI	AAC(3)-IIe	AAC(3)-IId	Ecol_catII	floR	ANT(3'')-IIa	FosA6	LAP-2	mphE	dfrA27	qacE	qacEdelta1	APH(3')-VIb	cmlA9	AAC(6')-Ib-cr5	AAC(6')-Ib-cr6	CTX-M-232	SFO-1	KPC-2	AAC6_Ie_APH2_Ia
N20	0	60222.824450466724	0	0	25809.78190734288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25809.78190734288	0	0	0	0	0	0	0	0	27333.606669400026	0	0	0	0	0	0	381263.61655773415	0	0	0	0	0	53099.69467675561	0	105820.10582010582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51619.56381468576	0	0	0	0	55279.15975677169	0	0	0	0	0	0	0	0	0	0	341880.3418803418	0	51619.56381468576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N39	0	0	0	0	0	0	0	13664.002186240348	0	0	0	0	0	27328.004372480696	0	0	0	0	40992.00655872105	55756.899916364644	13338.668800853673	0	0	0	0	0	0	0	0	0	13664.002186240348	0	0	28941.465885247086	0	0	0	13664.002186240348	0	0	259515.57093425604	0	0	19223.375624759705	0	0	210837.0229812355	0	0	13711.778417660771	0	0	0	0	13664.002186240348	53354.67520341469	0	0	0	0	0	120048.01920768306	0	0	0	0	0	0	0	0	13664.002186240348	0	13664.002186240348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75414.78129713422	0	0	0	0	0	0	0	0	0	0	0	15082.956259426845	0	21197.668256491783	0	0	0	173402.69441109776	0
N24	0	0	0	0	1659.2002654720425	0	0	0	0	110294.11764705884	0	15503.875968992248	0	0	0	2174.3857360295715	0	1630.7893020221788	0	0	0	0	0	0	0	0	0	0	0	2174.3857360295715	0	28382.21381267739	26092.62883235486	0	0	0	0	0	0	0	3501.40056	0	0	7002.80112	2574.002574002574	0	87045.57091653867	0	34013.60544217687	0	0	6307.158625039419	0	0	0	0	0	0	2574.002574002574	93030.58971933144	0	0	0	0	88062.62230919766	4668.534080298786	0	0	0	0	0	0	0	0	0	393956.7794989482	0	0	0	0	33772.374197906116	11904.761904761906	0	4977.600796416128	28429.28216062544	62932.66205160478	0	0	0	65231.57208088715	0	0	0	0	2052.545155993432	3663.0036630036625	0	0	0	0	0	0	0	0	75346.59433393611	0	0	0	0	7722.007722007722	33333.333333333336	35877.364644487934	0	0	6944.444444444445
N40	0	127.24924168995646	201.95686100470508	676.8283990427954	7362.277554918909	0	20636.60219256126	3163.0525791503464	0	460.3428449371955	3217.587968446042	0	2290.4863504192163	818.0308394354345	2235.9509611235208	643.2187696382731	0	0	2181.4155718278253	1557.7478259960071	100671.03017820422	77.86893894460022	0	8469.047133570595	2563.163296897694	0	237.1463140585552	1126.4449917781374	39986.76684584598	714.6875218203035	2726.7694647847816	0	0	0	0	0	17688.516165052508	2726.7694647847816	0	8198.486857	393478.04671006784	0	0	997.4094973639234	1015.2425985641931	3981.0834185857802	2580.5598906156765	0	1453.3681247302884	1313.425739401229	0	0	3484.492921166947	0	1199.7785645053038	125372.96460585455	770.7255206903044	4093.5102211338303	1945.8816472480369	0	0	120688.11497302432	2563.163296897694	0	0	460.3428449371955	0	0	474.2926281171104	363.99201692708476	763.4954501397389	2181.4155718278253	1690.5970681665644	1145.2431752096081	4980.072595	0	12184.517579287034	240.79471889022528	2563.163296897694	1363.3847323923908	0	0	15169.242650635939	2345.0217397149117	934.4272673352026	0	515.5839863296588	2508.6279076019987	12810.773828628939	0	1636.061678870869	1108.0818922382048	0	10155.655128767135	404.7842257206374	0	0	0	67141.21905	0	966.1516499	0	0	0	0	0	2158.8492038433997	0	0	338.4141995213977	156.51656727864645	0	0	154653.27481104352	0
N38	0	0	0	0	7227.505152747022	0	0	0	0	0	0	0	0	0	0	347.58392674599224	0	0	0	0	109585.58653727152	0	0	0	3978.443203346985	0	0	0	0	260.6879450594942	0	0	0	0	0	0	0	0	0	0	520252.6317674821	0	0	0	0	5304.590938	0	0	0	0	0	0	0	0	0	154895.63413094552	72.08416662629952	0	0	0	0	142144.09216529728	0	0	0	0	0	0	72.08416662629952	0	0	0	0	0	0	0	18789.33112871848	0	0	1326.147734448995	0	0	0	3315.3693361224873	0	0	0	0	0	0	0	0	0	10604.626406275149	0	0	0	0	26677.878489733284	0	411.1467281648196	0	532.3138458557504	0	0	0	0	0	0	0	0	0	0	184670.80826393128	0
N13	0	0	0	0	129048.90953671442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31494.079113126732	0	0	0	161311.1369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170206.97167755992	0	0	0	0	129048.90953671442	0	0	0	0	0	0	0	0	0	78735.19778281683	0	0	0	0	0	78735.19778281683	0	0	0	0	0	0	0	0	0	0	0	0	0	130150.23055183697	0	0	0	32262.227384178605	0	7233.7962962962965	0	96786.68215253581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66137.56613756613	0	0	0	0	0	0	0	0	0	0	0	94482.23733938018	0
N36	0	27100.271002710026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47619.04761904762	0	0	0	0	0	0	22675.736961451246	0	0	0	0	0	22675.736961451246	0	0	0	0	0	0	126262.62626262626	0	0	0	0	0	75757.57575757575	589022.7576974565	0	0	0	0	0	104166.66666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90702.94784580499	0
N26	0	7515.923019769025	0	0	0	0	3618.232999732251	16565.707880307236	0	0	11043.80525353816	0	40493.95259630658	31290.78155169145	9203.171044615132	0	0	0	14725.07367138421	0	30545.762943317844	0	0	0	0	0	0	0	41609.67949692088	0	12884.439462461185	0	0	0	0	0	1809.1164998661254	38653.31838738355	0	29347.889886717145	221403.934	0	0	0	0	0	28401.18376133917	0	45279.60153950645	9235.349964	0	0	0	0	33131.41576061447	41326.62045272414	0	0	0	0	0	34139.382113119944	5521.902627	0	0	0	83097.39608373842	0	0	0	36812.68417846053	14725.07367138421	20246.97629815329	25768.87892492237	0	12729.205252070087	0	0	7362.536835692105	0	0	0	1809.1164998661254	0	98556.34663449787	0	7457.816724154003	5521.902627	1809.1164998661254	0	0	0	3986.883154421951	0	0	65016.86374903489	0	0	29622.16923145282	28695.714555901202	0	0	0	7162.87482	0	0	0	6095.330976472022	0	0	0	0	0	43123.430037625185	0
N12	0	0	0	0	0	0	0	0	0	0	0	0	42234.18857565199	31675.641431738994	0	0	0	0	10558.547143912998	0	0	0	0	0	0	0	0	0	0	0	21117.094287825996	0	0	0	0	0	20755.500207555004	0	0	0	44563.27985739751	0	0	0	0	0	0	0	0	0	0	0	0	0	10558.547143912998	20614.306328592043	0	0	0	0	0	20614.306328592043	0	0	0	0	0	0	0	0	0	21117.094287825996	10558.547143912998	10558.547143912998	0	742363.3929658027	0	0	0	0	0	89962.12121212122	20755.500207555004	0	0	0	0	0	20755.500207555004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10307.153164296022	0
N11	0	0	0	0	0	0	0	0	0	8816.476230780083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11755.30164104011	0	0	0	0	0	17190.54863635973	0	0	0	0	0	0	0	0	0	0	3074.463506118182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3027.880725722452	1165332.7940057593	0	0	0	0	0	18735.011990407675	0	0	0	0	0	0	0	2737.535998598382	0	0	0	0	0	6148.927012236364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2737.535998598382	0	0	33306.687982946976
N7	0	0	0	0	35870.366843813805	0	40144.282322613464	4150.9376478649165	0	0	4503.375750042126	0	3955.1387022109107	1409.7524087088393	4111.777858734115	1950.1217363493913	0	0	822.3555717	0	90407.83221590782	0	0	14702.891512213177	17504.42574146809	0	0	0	86023.46212	923.7418751128696	4268.417015	0	0	0	104.54753005153408	0	34717.29880632536	4033.458280472513	0	28944.523027263513	238453.88993454355	0	0	0	0	23691.672424134664	0	0	160.5551354362845	2514.989534106834	0	0	0	0	2075.4688239324582	120760.39829600541	0	0	0	0	0	109597.99364186372	3798.4995456877064	0	0	0	0	0	0	0	2232.1079804556625	3406.901654379695	234.95873478480658	2114.6286130632593	0	4378.190239407116	34854.690794079484	0	4425.056171780524	9085.071078345854	0	280.9714870134979	28135.637946146155	12061.215052286738	0	0	317.3325029799505	3524.3810217720984	24671.605914472893	0	2271.2677695864636	0	0	19775.24511652252	0	259.3582957047672	0	0	0	0	555.0054064464155	642.2205417	1257.494767053417	0	0	0	0	0	0	0	0	0	0	146449.21996581092	0
N9	0	0	0	0	0	0	0	7304.655256795156	0	0	0	0	0	29218.621027180623	0	0	0	0	7304.655256795156	0	7130.734893538129	0	0	0	0	0	0	15882.091353789467	0	0	0	0	0	0	0	0	0	7304.655256795156	0	0	53952.39856949069	0	0	0	0	0	0	34940.60097833683	0	0	0	0	0	0	14609.310513590312	14261.469787076257	7941.045676894733	0	0	0	0	0	0	0	0	0	0	0	7941.045676894733	0	14609.310513590312	0	0	7304.655256795156	0	479907.04958197573	0	24189.646831156264	0	0	0	212919.2872117401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6470.481662654968	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N8	0	0	0	0	0	0	3337.8728403962723	37356.26328694364	4641.232711408149	53749.57000343997	3396.023935176695	0	23772.167546236866	40752.28722212034	30564.215416590254	4450.497120528363	0	0	3396.023935176695	0	49727.49333651589	0	0	3337.8728403962723	0	0	0	0	20027.237042377634	0	3396.023935176695	0	0	0	0	0	6675.745680792545	30564.215416590254	0	0	168415.31934411192	14730.360746534681	0	0	0	0	27947.207724608215	4641.232711408149	0	20447.38887	0	0	0	0	37356.26328694364	125976.31645250693	0	0	0	0	0	69618.49067112224	23772.167546236866	0	0	0	0	0	0	0	27168.19148141356	13584.09574070678	13584.09574070678	27168.19148141356	3691.8896568019372	15657.170592702192	30843.635107459224	0	6792.04787	0	0	0	3337.8728403962723	0	7273.573652206801	0	0	23772.167546236866	6675.745680792545	0	10188.071805530086	0	0	59521.152329509096	0	44984.255510571296	0	0	18217.922792443205	0	3008.2063870238007	0	0	0	0	0	0	0	0	0	0	0	0	59672.99200381907	0
N25	0	0	0	0	16019.86463214386	0	19681.939851991814	0	0	0	4004.966158035965	0	12014.898474107895	0	0	0	0	0	0	0	74282.58659785753	0	0	3936.3879703983625	0	0	0	0	31491.10376	0	0	0	0	0	0	0	39363.87970398363	0	0	0	435260.31102096016	0	0	0	0	24029.79694821579	0	0	0	0	0	0	0	0	0	136836.34373289545	0	0	0	0	0	89921.02588161701	0	0	0	0	64574.454345860766	0	0	0	0	0	0	0	13061.650992685474	0	43649.06154517678	0	4004.966158035965	4004.966158035965	0	0	11809.163911195086	4004.966158035965	0	0	0	12014.898474107895	7872.775940796725	0	8009.932316	0	0	35096.95533912433	0	13262.599469496019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113378.68480725623	0
N18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175070.0280112045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595238.0952380953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272817.46031746035
N33	0	28627.04683384862	0	0	0	0	0	0	0	103562.55178127589	0	0	0	0	0	0	0	0	0	0	63875.31538436971	0	0	0	0	17324.11690314086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241645.95415631038	0	0	0	0	0	134618.94425092972	0	0	0	0	0	0	0	0	95812.97307655455	0	0	0	0	0	31937.657692184854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140144.34867913948	0	0	0	0	0	0	0	0	0	0	180570.60310581434	0	0	0	0	0	0	0	31829.394445770668	0	0	0	0	0	0	0	0	0	111781.80192264699	0
N14	0	0	0	96.99308817554352	3376.170561	0	17280.04943	4601.595430655751	0	105.55130183809149	4626.604101474532	0	4101.422014280127	1300.4508825766254	3863.8396415017046	868.5088854440222	0	0	912.8164848855158	102.04959988137756	99789.06240101201	0	0	6206.561138904215	1888.1546468179852	0	108.74982613621546	0	37792.426736892005	507.99576318423937	4851.682138843565	0	0	0	0	0	15768.352358839818	4451.543405743064	0	9114.271142844726	448672.19628826744	0	0	193.51072003650106	19.398617635108703	1800.6242989522505	0	0	640.8471897312697	2020.2371547612336	0	0	52.39042718970965	0	1375.4768950329692	131941.28140581513	339.84320667567334	1683.9492308630904	232.78341162130445	0	0	122761.9083262358	3226.1185356227825	0	0	175.91883639681913	0	0	13.593728267026933	0	1725.5982864959067	3013.5448336631416	412.6430685098908	1463.0072428987037	1658.434848577286	0	13242.012057181326	0	4576.5867598369705	875.3034787	0	0	13961.690007515224	1200.4161993015005	0	0	160.43797879389908	3801.3179644547517	11110.358949642397	0	2738.449454656548	95.27639634942771	0	8752.700701276242	69.60926371218964	27.605725096116235	0	0	16333.817344253446	0	686.7350131935088	102.53555035700316	100.38445489496813	0	0	226.3172057429349	1237.4980215500382	0	0	77.59447054043481	0	0	0	159747.94613358338	0
N37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362.2322198314896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2349.182484495396	0	0	0	0	0	381.70707036006434	0	570.5157462345961	0	0	0	0	0	0	0	0	0	0	0	0	181.1161099157448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518087.7263045794	0	0	1589.496606424745	0	0	0	0	0	0	0	0	812.948646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.1161099157448	0
N30	0	0	0	0	0	0	0	3040.419334634633	0	0	1520.2096673173164	0	1520.2096673173164	0	0	0	0	0	0	0	2968.028398095713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19248.53711117955	0	0	0	0	0	0	0	0	0	0	0	0	0	1520.2096673173164	2968.028398095713	0	0	0	0	0	1484.0141990478564	1520.2096673173164	0	0	0	0	0	0	0	0	1520.2096673173164	0	0	0	749945.6815	0	0	0	0	0	196335.0785340314	0	0	19535.82870985387	0	2053.1772918591523	0	0	0	1520.2096673173164	0	0	0	0	6712.310377231843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1484.0141990478564	3635.8347876672483
